Date,Open,High,Low,Close,Volume,Market Cap,,,
03 October 2017,421.79,421.79,395.74,404.18,"13,02,47,000","7,02,23,70,000",,,
04 October 2017,404.2,404.45,354.55,358.45,"25,15,84,000","6,72,96,40,000",,,
05 October 2017,358.42,371.19,348.45,355.75,"26,83,41,000","5,97,12,60,000",,,
06 October 2017,355.44,371.28,354.96,363.01,"18,20,31,000","5,92,65,40,000",,,
07 October 2017,363.6,364.88,356.06,360.78,"9,10,04,000","6,06,28,60,000",,,
08 October 2017,360.09,362.46,337,342.21,"20,37,54,000","6,00,49,40,000",,,
09 October 2017,342.76,342.76,289.04,314.16,"28,80,75,000","5,71,63,20,000",,,
10 October 2017,313.22,352.02,311.7,321.59,"36,78,09,000","5,22,41,70,000",,,
11 October 2017,320.2,321.26,312.13,314.9,"13,15,77,000","5,34,10,00,000",,,
12 October 2017,315.47,330.13,310.71,313.21,"26,20,66,000","5,26,23,90,000",,,
13 October 2017,314.15,323.08,304.38,321.46,"28,82,10,000","5,24,26,30,000",,,
14 October 2017,321.54,327.42,317.35,321.96,"16,41,37,000","5,36,97,20,000",,,
15 October 2017,322.42,323.59,307.68,314.95,"13,33,85,000","5,38,47,60,000",,,
16 October 2017,315.26,318.02,310.52,313.64,"11,77,97,000","5,26,54,00,000",,,
17 October 2017,313.7,394.96,309.64,371.73,"1,00,81,60,000","5,23,95,20,000",,,
18 October 2017,373.65,376.18,313.77,339.17,"47,71,84,000","6,24,09,90,000",,,
19 October 2017,339.27,339.27,326.27,330.81,"19,55,78,000","5,66,70,70,000",,,
20 October 2017,330.9,332.98,323.08,327.44,"16,02,04,000","5,52,78,60,000",,,
21 October 2017,326.75,328.45,317.46,323.36,"12,99,38,000","5,45,89,80,000",,,
22 October 2017,323.5,355.52,323.5,331.66,"35,55,46,000","5,40,50,20,000",,,
23 October 2017,330.67,332.28,309.87,315.6,"19,15,58,000","5,52,47,90,000",,,
24 October 2017,315.9,340.45,311.48,326.89,"26,74,42,000","5,27,84,10,000",,,
25 October 2017,326.59,334.38,320.38,332.13,"15,19,35,000","5,45,77,20,000",,,
26 October 2017,332.11,350.94,331.21,338.2,"23,49,67,000","5,55,07,00,000",,,
27 October 2017,338.3,372.81,338.24,367.57,"50,19,89,000","5,65,58,70,000",,,
28 October 2017,369.54,425.44,369.06,423.35,"78,10,37,000","6,18,35,20,000",,,
29 October 2017,420.47,526.12,408.4,451.92,"2,00,24,40,000","7,04,22,60,000",,,
30 October 2017,458.45,478.42,417.62,448.23,"79,64,09,000","7,67,90,00,000",,,
31 October 2017,449.37,454.07,431.76,439.05,"34,37,99,000","7,52,72,60,000",,,
01 November 2017,438.3,538.26,437.91,531.83,"1,15,22,30,000","7,34,22,50,000",,,
02 November 2017,527.68,610.39,514.52,587.22,"1,63,20,60,000","8,84,00,10,000",,,
03 November 2017,587.32,684.53,577.86,625.32,"1,68,22,10,000","9,83,97,60,000",,,
04 November 2017,635.35,642.05,571.12,620.45,"1,16,13,70,000","10,64,72,00,000",,,
05 November 2017,619.91,635.72,579.13,630.7,"81,60,28,000","10,39,09,00,000",,,
06 November 2017,630.31,657.34,602.65,602.65,"79,41,05,000","10,56,66,00,000",,,
07 November 2017,602.68,626.21,602.45,616.3,"37,53,67,000","10,10,52,00,000",,,
08 November 2017,615.24,646.38,565.6,622.46,"83,76,46,000","10,31,75,00,000",,,
09 November 2017,622.31,670.14,619.26,654.3,"71,03,87,000","10,43,77,00,000",,,
10 November 2017,651.77,1034.77,651.77,1007.42,"5,19,54,20,000","10,93,30,00,000",,,
11 November 2017,1001.64,1403.66,910.72,1340.45,"5,13,97,70,000","16,80,74,00,000",,,
12 November 2017,1346.97,2477.65,1215.58,1388.86,"8,37,13,20,000","22,61,44,00,000",,,
13 November 2017,1381.82,1501.16,1043,1353.99,"4,85,05,70,000","23,21,47,00,000",,,
14 November 2017,1346.73,1390.21,1211.39,1273.53,"1,69,79,10,000","22,62,62,00,000",,,
15 November 2017,1269.79,1326.39,1191.98,1212.4,"1,32,17,80,000","21,33,56,00,000",,,
16 November 2017,1202.17,1210.36,876.57,900.78,"2,03,46,90,000","20,20,20,00,000",,,
17 November 2017,909.16,1217.42,863.98,1185.48,"3,20,34,30,000","15,27,90,00,000",,,
18 November 2017,1197.43,1388.11,1197.43,1254.53,"3,05,37,70,000","20,12,59,00,000",,,
19 November 2017,1260.95,1262.34,1144.08,1172.05,"1,28,59,10,000","21,19,62,00,000",,,
20 November 2017,1172.43,1236.01,1167.28,1236.01,"80,00,53,000","19,71,02,00,000",,,
21 November 2017,1220.78,1224.15,1140.88,1176.97,"77,28,59,000","20,52,51,00,000",,,
22 November 2017,1175.06,1335.25,1171.6,1303.31,"1,51,76,20,000","19,75,86,00,000",,,
23 November 2017,1302.23,1683.81,1299.95,1683.81,"4,11,20,90,000","21,89,94,00,000",,,
24 November 2017,1651.86,1782.83,1575.76,1648.51,"3,12,89,60,000","27,78,24,00,000",,,
25 November 2017,1634,1656.55,1535.77,1571.27,"1,56,00,40,000","27,48,49,00,000",,,
26 November 2017,1571.39,1758.61,1563.35,1735.66,"1,59,30,50,000","26,43,45,00,000",,,
27 November 2017,1722.93,1742.4,1607.79,1622.57,"1,39,14,60,000","28,98,68,00,000",,,
28 November 2017,1621.17,1629.48,1543.08,1546.18,"1,27,48,80,000","27,27,72,00,000",,,
29 November 2017,1541.63,1673.23,1332.14,1359.71,"2,34,52,50,000","25,94,18,00,000",,,
30 November 2017,1380.36,1468.75,1222.1,1389.78,"1,21,17,30,000","23,23,04,00,000",,,
01 December 2017,1381.81,1482.68,1300.46,1462.68,"96,51,51,000","23,25,71,00,000",,,
02 December 2017,1462.06,1502.37,1415.49,1434.98,"57,45,10,000","24,61,05,00,000",,,
03 December 2017,1435.36,1649.3,1420.6,1559.93,"1,47,67,40,000","24,16,36,00,000",,,
04 December 2017,1560.16,1580.11,1498.98,1576.92,"78,06,34,000","26,26,73,00,000",,,
